userId,movieId,rating,timestamp
1,2,3.5,2005-4-2 23:53
1,29,3.5,2005-4-2 23:31
1,32,3.5,2005-4-2 23:33
1,47,3.5,2005-4-2 23:32
1,50,3.5,2005-4-2 23:29
1,112,3.5,2004-9-10 3:09
1,151,4,2004-9-10 3:08
1,200,4,2005-4-2 23:46
1,153,4,2005-4-2 23:35
2,3,4,2000-11-21 15:34
2,62,5,2000-11-21 15:29
2,70,5,2000-11-21 15:31
2,110,4,2000-11-21 15:30
2,142,3,2000-11-21 15:32
2,160,5,2000-11-21 15:36
2,166,5,2000-11-21 15:32
2,169,3,2000-11-21 15:29
2,180,5,2000-11-21 15:32
2,141,5,2000-11-21 15:36
2,189,5,2000-11-21 15:30
3,1,4,1999-12-11 13:36
3,24,3,1999-12-14 12:54
3,32,4,1999-12-11 13:14
3,50,5,1999-12-11 13:13
3,160,3,1999-12-14 12:54
3,173,2,1999-12-14 12:54
3,175,5,1999-12-11 13:32
3,196,3,1999-12-14 12:52
3,123,5,1999-12-11 13:20
3,160,5,1999-12-11 13:09
3,116,5,1999-12-14 12:51
4,6,3,1996-8-24 9:33
4,10,4,1996-8-24 9:28
4,19,3,1996-8-24 9:29
4,32,1,1996-8-24 9:31
4,165,3,1996-8-24 9:27
4,129,3,1996-8-24 9:28
4,150,4,1996-8-24 9:31
4,156,4,1996-8-24 9:28
4,167,3,1996-8-24 9:29
4,168,4,1996-8-24 9:33
4,170,4,1996-8-24 9:34
5,2,3,1996-12-25 15:26
5,11,5,1996-12-25 15:29
5,17,3,1996-12-25 15:15
5,60,3,1996-12-26 16:26
5,62,5,1996-12-25 15:15
5,104,2,1996-12-25 15:16
5,110,4,1996-12-25 15:26
5,140,2,1996-12-25 15:16
5,141,5,1996-12-25 15:15
5,150,5,1996-12-25 15:25
5,124,2,1996-12-25 15:27
